# cmd: kubectl get events -A
# at: 2026-09-17T05:14:26Z

NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                      MESSAGE
kube-system          39h         Normal    SandboxChanged            pod/kube-controller-manager-chaos-control-plane             Pod sandbox changed, it will be killed and re-created.
kube-system          39h         Normal    Pulled                    pod/kube-controller-manager-chaos-control-plane             Container image "registry.k8s.io/kube-controller-manager:v1.31.0" already present on machine
kube-system          39h         Normal    Created                   pod/kube-controller-manager-chaos-control-plane             Created container kube-controller-manager
kube-system          39h         Normal    Started                   pod/kube-controller-manager-chaos-control-plane             Started container kube-controller-manager
kube-system          40m         Normal    SandboxChanged            pod/kube-controller-manager-chaos-control-plane             Pod sandbox changed, it will be killed and re-created.
kube-system          40m         Normal    Pulled                    pod/kube-controller-manager-chaos-control-plane             Container image "registry.k8s.io/kube-controller-manager:v1.31.0" already present on machine
kube-system          40m         Normal    Created                   pod/kube-controller-manager-chaos-control-plane             Created container kube-controller-manager
kube-system          40m         Normal    Started                   pod/kube-controller-manager-chaos-control-plane             Started container kube-controller-manager
kube-system          39h         Normal    LeaderElection            lease/kube-controller-manager                               chaos-control-plane_72c521d8-598e-40d4-a8fe-9112f1dbf7be became leader
kube-system          40m         Normal    LeaderElection            lease/kube-controller-manager                               chaos-control-plane_e478cc28-0a95-41ec-bb1f-44a60cb46845 became leader
kube-system          39h         Normal    SandboxChanged            pod/kube-proxy-lmvhs                                        Pod sandbox changed, it will be killed and re-created.
kube-system          39h         Normal    Pulled                    pod/kube-proxy-lmvhs                                        Container image "registry.k8s.io/kube-proxy:v1.31.0" already present on machine
kube-system          39h         Normal    Created                   pod/kube-proxy-lmvhs                                        Created container kube-proxy
kube-system          39h         Normal    Started                   pod/kube-proxy-lmvhs                                        Started container kube-proxy
kube-system          40m         Normal    SandboxChanged            pod/kube-proxy-lmvhs                                        Pod sandbox changed, it will be killed and re-created.
kube-system          40m         Normal    Pulled                    pod/kube-proxy-lmvhs                                        Container image "registry.k8s.io/kube-proxy:v1.31.0" already present on machine
kube-system          40m         Normal    Created                   pod/kube-proxy-lmvhs                                        Created container kube-proxy
kube-system          40m         Normal    Started                   pod/kube-proxy-lmvhs                                        Started container kube-proxy
kube-system          39h         Normal    SandboxChanged            pod/kube-scheduler-chaos-control-plane                      Pod sandbox changed, it will be killed and re-created.
kube-system          39h         Normal    Pulled                    pod/kube-scheduler-chaos-control-plane                      Container image "registry.k8s.io/kube-scheduler:v1.31.0" already present on machine
kube-system          39h         Normal    Created                   pod/kube-scheduler-chaos-control-plane                      Created container kube-scheduler
kube-system          39h         Normal    Started                   pod/kube-scheduler-chaos-control-plane                      Started container kube-scheduler
kube-system          40m         Normal    SandboxChanged            pod/kube-scheduler-chaos-control-plane                      Pod sandbox changed, it will be killed and re-created.
kube-system          40m         Normal    Pulled                    pod/kube-scheduler-chaos-control-plane                      Container image "registry.k8s.io/kube-scheduler:v1.31.0" already present on machine
kube-system          40m         Normal    Created                   pod/kube-scheduler-chaos-control-plane                      Created container kube-scheduler
kube-system          40m         Normal    Started                   pod/kube-scheduler-chaos-control-plane                      Started container kube-scheduler
kube-system          39h         Normal    LeaderElection            lease/kube-scheduler                                        chaos-control-plane_347c4d4b-8e1b-4a19-a8d3-457701eebdbc became leader
kube-system          40m         Normal    LeaderElection            lease/kube-scheduler                                        chaos-control-plane_b765ae8d-53d2-4437-8421-fb825416e77c became leader
local-path-storage   39h         Normal    SandboxChanged            pod/local-path-provisioner-ccc7bf7fc-2jcpc                  Pod sandbox changed, it will be killed and re-created.
local-path-storage   39h         Normal    Pulled                    pod/local-path-provisioner-ccc7bf7fc-2jcpc                  Container image "docker.io/kindest/local-path-provisioner:v20241108-5c6d2daf" already present on machine
local-path-storage   39h         Normal    Created                   pod/local-path-provisioner-ccc7bf7fc-2jcpc                  Created container local-path-provisioner
local-path-storage   39h         Normal    Started                   pod/local-path-provisioner-ccc7bf7fc-2jcpc                  Started container local-path-provisioner
local-path-storage   39h         Warning   BackOff                   pod/local-path-provisioner-ccc7bf7fc-2jcpc                  Back-off restarting failed container local-path-provisioner in pod local-path-provisioner-ccc7bf7fc-2jcpc_local-path-storage(274b6d84-1d68-45c2-9f9c-baa7137fca91)
local-path-storage   40m         Normal    SandboxChanged            pod/local-path-provisioner-ccc7bf7fc-2jcpc                  Pod sandbox changed, it will be killed and re-created.
local-path-storage   39m         Normal    Pulled                    pod/local-path-provisioner-ccc7bf7fc-2jcpc                  Container image "docker.io/kindest/local-path-provisioner:v20241108-5c6d2daf" already present on machine
local-path-storage   39m         Normal    Created                   pod/local-path-provisioner-ccc7bf7fc-2jcpc                  Created container local-path-provisioner
local-path-storage   39m         Normal    Started                   pod/local-path-provisioner-ccc7bf7fc-2jcpc                  Started container local-path-provisioner
local-path-storage   39m         Warning   BackOff                   pod/local-path-provisioner-ccc7bf7fc-2jcpc                  Back-off restarting failed container local-path-provisioner in pod local-path-provisioner-ccc7bf7fc-2jcpc_local-path-storage(274b6d84-1d68-45c2-9f9c-baa7137fca91)
monitoring           39h         Normal    SandboxChanged            pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Pod sandbox changed, it will be killed and re-created.
monitoring           39h         Normal    Pulled                    pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Container image "m.daocloud.io/quay.io/prometheus-operator/prometheus-config-reloader:v0.93.1" already present on machine
monitoring           39h         Normal    Created                   pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Created container init-config-reloader
monitoring           39h         Normal    Started                   pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Started container init-config-reloader
monitoring           39h         Normal    Pulled                    pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Container image "m.daocloud.io/quay.io/prometheus/alertmanager:v0.34.0" already present on machine
monitoring           39h         Normal    Created                   pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Created container alertmanager
monitoring           39h         Normal    Started                   pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Started container alertmanager
monitoring           39h         Normal    Pulled                    pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Container image "m.daocloud.io/quay.io/prometheus-operator/prometheus-config-reloader:v0.93.1" already present on machine
monitoring           39h         Normal    Created                   pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Created container config-reloader
monitoring           39h         Normal    Started                   pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Started container config-reloader
monitoring           40m         Normal    SandboxChanged            pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Pod sandbox changed, it will be killed and re-created.
monitoring           40m         Normal    Pulled                    pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Container image "m.daocloud.io/quay.io/prometheus-operator/prometheus-config-reloader:v0.93.1" already present on machine
monitoring           40m         Normal    Created                   pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Created container init-config-reloader
monitoring           40m         Normal    Started                   pod/alertmanager-kps-kube-prometheus-stack-alertmanager-0   Started container init-config-reloader
